domain_name;group
launcherthemestore.goforandroid.com;launcherthemestore.goforandroid.com
launcherwidget.goforandroid.com;launcherwidget.goforandroid.com
public.sonataplatform.com;public.sonataplatform.com
adviap.goforandroid.com;adviap.goforandroid.com
launchergvip.goforandroid.com;launchergvip.goforandroid.com
lzb.goforandroid.com;lzb.goforandroid.com
lzt.goforandroid.com;lzb.goforandroid.com
newstoredata.goforandroid.com;newstoredata.goforandroid.com
sebz.goforandroid.com;sebz.goforandroid.com
wallpaperaction.goforandroid.com;wallpaperaction.goforandroid.com
navigation.api.hk.goforandroid.com;navigation.api.hk.goforandroid.com
t.appsflyer.com;t.appsflyer.com
t0.gstatic.com;t.gstatic.com
t1.gstatic.com;t.gstatic.com
t2.gstatic.com;t.gstatic.com
t3.gstatic.com;t.gstatic.com
version.api.goforandroid.com;version.api.goforandroid.com
42058444.r.bat.bing.com;r.bat.bing.com
778802.r.bat.bing.com;r.bat.bing.com
141123555.r.bat.bing.com;r.bat.bing.com
bat.bing.com;r.bat.bing.com
41040916.r.bat.bing.com;r.bat.bing.com
135034179.r.bat.bing.com;r.bat.bing.com
2645976.r.bat.bing.com;r.bat.bing.com
41040884.r.bat.bing.com;r.bat.bing.com
45094460.r.bat.bing.com;r.bat.bing.com
0.r.bat.bing.com;r.bat.bing.com
168000111.r.bat.bing.com;r.bat.bing.com
141016139.r.bat.bing.com;r.bat.bing.com
160000114.r.bat.bing.com;r.bat.bing.com
5234440226.log.optimizely.com;log.optimizely.com
3769661481.log.optimizely.com;log.optimizely.com
5399020466.log.optimizely.com;log.optimizely.com
logx.optimizely.com;log.optimizely.com
105528584.log.optimizely.com;log.optimizely.com
2790670653.log.optimizely.com;log.optimizely.com
246059135.log.optimizely.com;log.optimizely.com
a.retailmenot.com;a.retailmenot.com
www.retailmenot.com;a.retailmenot.com
aa.agkn.com;aa.agkn.com
d.agkn.com;aa.agkn.com
ads.yahoo.com;ads.yahoo.com
udc.yahoo.com;ads.yahoo.com
amazonshopbop.d2.sc.omtrdc.net;amazonshopbop.d.sc.omtrdc.net
beacon.krxd.net;beacon.krxd.net
bh.contextweb.com;bh.contextweb.com
bid.contextweb.com;bh.contextweb.com
cdn.optimizely.com;cdn.optimizely.com
cdn3.optimizely.com;cdn.optimizely.com
a3698060313.cdn.optimizely.com;cdn.optimizely.com
a6264210458.cdn.optimizely.com;cdn.optimizely.com
cm.g.doubleclick.net;cm.g.doubleclick.net
connect.facebook.net;connect.facebook.net
cse.google.com;cse.google.com
ct.pinterest.com;ct.pinterest.com
d1ivexoxmp59q7.cloudfront.net;divexoxmpq.cloudfront.net
d3l3lkinz3f56t.cloudfront.net;dllkinzft.cloudfront.net
dpm.demdex.net;dpm.demdex.net
fbnewsroomus.files.wordpress.com;fbnewsroomus.files.wordpress.com
fbnewsroomes.files.wordpress.com;fbnewsroomus.files.wordpress.com
fls-na.amazon.com;fls-na.amazon.com
fls-eu.amazon.com;fls-na.amazon.com
geo-um.btrll.com;geo-um.btrll.com
ib.adnxs.com;ib.adnxs.com
m.adnxs.com;ib.adnxs.com
idsync.rlcdn.com;idsync.rlcdn.com
image5.pubmatic.com;image.pubmatic.com
image2.pubmatic.com;image.pubmatic.com
image3.pubmatic.com;image.pubmatic.com
image4.pubmatic.com;image.pubmatic.com
simage2.pubmatic.com;image.pubmatic.com
image6.pubmatic.com;image.pubmatic.com
images.boldchat.com;images.boldchat.com
m.media-amazon.com;m.media-amazon.com
m.shopbop.com;m.shopbop.com
www.shopbop.com;m.shopbop.com
newsroom.fb.com;newsroom.fb.com
p13n-na.amazon.com;pn-na.amazon.com
paypal.adtag.where.com;paypal.adtag.where.com
pixel.advertising.com;pixel.advertising.com
pixel.wp.com;pixel.wp.com
platform.twitter.com;platform.twitter.com
public-api.wordpress.com;public-api.wordpress.com
r-login.wordpress.com;r-login.wordpress.com
s0.wp.com;s.wp.com
s1.wp.com;s.wp.com
s2.wp.com;s.wp.com
i0.wp.com;s.wp.com
i1.wp.com;s.wp.com
i2.wp.com;s.wp.com
secure.ace-tag.advertising.com;secure.ace-tag.advertising.com
secure.leadback.advertising.com;secure.leadback.advertising.com
shopbop.sp1.convertro.com;shopbop.sp.convertro.com
smrtpxl.advertising.com;smrtpxl.advertising.com
sp1.convertro.com;sp.convertro.com
ssum-sec.casalemedia.com;ssum-sec.casalemedia.com
dsum-sec.casalemedia.com;ssum-sec.casalemedia.com
static.ads-twitter.com;static.ads-twitter.com
staticxx.facebook.com;staticxx.facebook.com
stats.wp.com;stats.wp.com
sync.adaptv.advertising.com;sync.adaptv.advertising.com
sync.ipredictive.com;sync.ipredictive.com
sync.search.spotxchange.com;sync.search.spotxchange.com
token.rubiconproject.com;token.rubiconproject.com
trc.taboola.com;trc.taboola.com
c2.taboola.com;trc.taboola.com
nr.taboola.com;trc.taboola.com
ums.adtechus.com;ums.adtechus.com
us-u.openx.net;us-u.openx.net
eu-u.openx.net;us-u.openx.net
usermatch.krxd.net;usermatch.krxd.net
vms.boldchat.com;vms.boldchat.com
vmss.boldchat.com;vms.boldchat.com
web-assets-prod.s3.amazonaws.com;web-assets-prod.s.amazonaws.com
www.amazon.com;amazon.com
www.microsoftaccessexpert.com;microsoftaccessexpert.com
www.paypal.com;paypal.com
www.paypalobjects.com;paypalobjects.com
x.bidswitch.net;x.bidswitch.net
33across-d.openx.net;across-d.openx.net
3p.ampproject.net;p.ampproject.net
d-1054602820641155007.ampproject.net;p.ampproject.net
d-2162308225571848168.ampproject.net;p.ampproject.net
d-3783823584249123877.ampproject.net;p.ampproject.net
d-2987751334246220422.ampproject.net;p.ampproject.net
a1.vdna-assets.com;a.vdna-assets.com
aax.amazon-adsystem.com;aax.amazon-adsystem.com
acc.magixite.com;acc.magixite.com
accounts.us1.gigya.com;accounts.us.gigya.com
ad.360yield.com;ad.yield.com
ad.afy11.net;ad.afy.net
ads.creative-serving.com;ads.creative-serving.com
ads.pubmatic.com;ads.pubmatic.com
gads.pubmatic.com;ads.pubmatic.com
adserver-us.adtech.advertising.com;adserver-us.adtech.advertising.com
adserver.adtechus.com;adserver.adtechus.com
adyoulike.omnitagjs.com;adyoulike.omnitagjs.com
ak.sail-horizon.com;ak.sail-horizon.com
aktrack.pubmatic.com;aktrack.pubmatic.com
amp.theguardian.com;amp.theguardian.com
ams1-ib.adnxs.com;ams-ib.adnxs.com
apex.go.sonobi.com;apex.go.sonobi.com
api.nextgen.guardianapps.co.uk;api.nextgen.guardianapps.co.uk
api.sail-personalize.com;api.sail-personalize.com
apiservices.krxd.net;apiservices.krxd.net
apps.wix.com;apps.wix.com
artmarketmag.com;artmarketmag.com
asset.pagefair.com;asset.pagefair.com
asset.pagefair.net;asset.pagefair.net
assets.guim.co.uk;assets.guim.co.uk
b.sharethrough.com;b.sharethrough.com
b1sync.zemanta.com;bsync.zemanta.com
bam.nr-data.net;bam.nr-data.net
bcp.crwdcntrl.net;bcp.crwdcntrl.net
beacon.deepintent.com;beacon.deepintent.com
beacon.gu-web.net;beacon.gu-web.net
beap-bc.yahoo.com;beap-bc.yahoo.com
btlr.sharethrough.com;btlr.sharethrough.com
c1.adform.net;c.adform.net
s1.adform.net;c.adform.net
a2.adform.net;c.adform.net
cm.adform.net;c.adform.net
cdn-gl.imrworldwide.com;cdn-gl.imrworldwide.com
cdn-sic.33across.com;cdn-sic.across.com
cdn.adnxs.com;cdn.adnxs.com
acdn.adnxs.com;cdn.adnxs.com
adx.adnxs.com;cdn.adnxs.com
cdn.ampproject.org;cdn.ampproject.org
cdn.krxd.net;cdn.krxd.net
cdn.taboola.com;cdn.taboola.com
cdns.gigya.com;cdns.gigya.com
cdn.gigya.com;cdns.gigya.com
cdns.us1.gigya.com;cdns.us.gigya.com
chart.finance.yahoo.com;chart.finance.yahoo.com
choices.truste.com;choices.truste.com
cmap.ox.ace.advertising.com;cmap.ox.ace.advertising.com
cms.analytics.yahoo.com;cms.analytics.yahoo.com
contextual.media.net;contextual.media.net
csync.flickr.com;csync.flickr.com
csync.yahooapis.com;csync.yahooapis.com
d.turn.com;d.turn.com
r.turn.com;d.turn.com
ad.turn.com;d.turn.com
d.xp1.ru4.com;d.xp.ru.com
m.xp1.ru4.com;d.xp.ru.com
s.xp1.ru4.com;d.xp.ru.com
d2oh4tlt9mrke9.cloudfront.net;dohtltmrke.cloudfront.net
dataservices.sub2tech.com;dataservices.subtech.com
de.tynt.com;de.tynt.com
ic.tynt.com;de.tynt.com
sc.tynt.com;de.tynt.com
dis.criteo.com;dis.criteo.com
