afzkl/development/mColorPicker,Penroser
org/apache/tools/tar,Apache ANT (Tar)
org/apache/tools/zip,Apache ANT (Zip)
org/appcelerator,Appcelerator
org/aspectj,AspectJ
org/bouncycastle,Bouncy Castle
org/ccil/cowan/tagsoup,TagSoup
org/cocos2d,cocos2D
org/cocos2dx,cocos2DX
org/codehaus/jackson,Jackson Json-processor
org/dom4j,Dom4j
org/ebookdroid/ui/library/tasks,EBookDroid
org/fmod,Fmod
org/geometerplus/fbreader,FBReader
org/geometerplus/zlibrary,Zlibrary(FBReader PDF Reader)
org/hamcrest,hamcrest
org/htmlcleaner,htmlCleaner
org/ice4j,A Java implementation of the ICE protocol
org/ini4j,ini4j
org/jaudiotagger,JAudiotagger
org/java_websocket,Java-WebSocket
org/jaxen,Jaxen
org/jdeferred,Java jdeferred Library
org/jdom,JDOM V1
org/jdom2,JDOM2
org/jivesoftware/smack,Smack
org/jivesoftware/smackx,Smack Extensions
org/joda/time,Joda Time
org/json/simple,Json org
org/jsoup,Jsoup
org/junit,jUnit Java Unit Test
org/kde/necessitas/ministro/,Ministro Qt shared libraries
org/kobjects,KObjects
org/ksoap2,ksoap2
org/kxml2,Kxml2
org/lobobrowser,Lobobrowser
org/mapsforge,Mapsforge API
org/metalev/multitouch,Metalev Multi Touch
org/mozilla/intl/chardet,Mozilla Charset Detector
org/mozilla/javascript,Mozilla Rhino
org/mozilla/universalchardet,Mozilla Universal Detector
org/msgpack,Messagepack
org/nexage,Millennial Media
org/nexage/sourcekit/mraid,Nexage SourceKit-MRAID(part of MillennialMedia)
org/ocpsoft/prettytime,PrettyTime
org/openudid,OpenUDID Salama Generator
org/osmdroid,OpenStreetMap-Tools
org/scribe,Scribe Java Lib
org/simpleframework,simple framework
org/slf4j,SLF4J
org/spongycastle,Spongy Castle
org/springframework,Spring Framework
org/tukaani/xz,XZ For Java
org/vudroid,Vudroid PDF Reader
org/xbill/DNS,Dnsjava
org/xinhua/analytics,Xinhua Analytics
org/xmlpull,XML Pull
org/xutils,xUtils
org/yaml/snakeyaml,SnakeYAML
org/zywx/wbpalmstar,Zywx Wbpalmstar APP Framework
pagerslidingtabstrip,PagerSlidingTabStrip UI Framework
pdftron,Pdftron PDF Widget
pl/polidea,Polidea
pts/PhoneGap,PhoneGap
rajawali/wallpaper,rajawali WallPapper
retrofit,retrofit RESTful Library
roboguice,Roboguice
rx/internal,RxJava Retrofit
ti/imagefactory,Titanium Image Factory
ti/map,Ti Map
ti/modules/titanium,Titanium-Modules
twitter4j,Twitter 4j
u/aly,Umeng Analysis
uk/co/senab/actionbarpulltorefresh,actionbarpulltorefresh
v2/com/playhaven,PlayHaven Mobile Ads
xamarin,Xamarin
zfee/sdk,ZFEE SDK
com/crittercism/app,Apteligent
com/braintreepayments,Braintree
com/squareup,Square POS
com/jakewharton/rxbinding,RxBinding
com/nimbusds,Nimbus JOSE+JWT
com/apache/tika,Apache Tika
com/mixpanel/android,Mixpanel
org/apache/tika,Apache Tika
com/stripe/android,Stripe Android
com/payleven,Payleven
com/dynatrace,Dynotrace Gradle
